timestamp,t,drone_id,experiment_id,pattern,x,y,z,vx,vy,vz,roll,pitch,yaw,ax,ay,az,gx,gy,gz,mx,my,mz,rpm1,rpm2,rpm3,rpm4,battery
1782571991.1742268,57.30212736129761,drone_1,,hover,,,,,,,,,,0.005,0.026,1.015,0.074,0.042,-0.007,0.0,0.0,0.0,12062,13071,12515,12406,7.349
1782571991.440653,57.56855368614197,drone_1,,hover,,,,,,,,,,0.009,0.012,0.982,-0.025,0.022,0.003,0.0,0.0,0.0,12210,13140,12610,12437,7.341
1782571991.715904,57.843804597854614,drone_1,,hover,,,,,,,,,,0.007,0.014,1.009,0.008,-0.002,-0.005,0.0,0.0,0.0,12048,13140,12820,12224,7.346
1782571991.9739869,58.101887464523315,drone_1,,hover,,,,,,,,,,0.0,0.022,0.977,0.124,0.061,-0.015,0.0,0.0,0.0,12239,13054,12690,12406,7.34
1782571992.2257237,58.35362434387207,drone_1,,hover,,,,,,,,,,0.001,0.022,0.996,0.07,-0.017,0.0,0.0,0.0,0.0,12422,12903,12610,12500,7.343
1782571992.4952683,58.6231689453125,drone_1,,hover,,,,,,,,,,-0.005,0.016,1.005,-0.053,0.055,-0.012,0.0,0.0,0.0,12422,12804,12658,12422,7.335
1782571992.779638,58.907538652420044,drone_1,,hover,,,,,,,,,,0.002,0.031,0.971,0.057,-0.058,0.012,0.0,0.0,0.0,12224,12804,12626,12578,7.34
1782571993.0541005,59.1820011138916,drone_1,,hover,,,,,,,,,,0.009,-0.009,1.05,-0.052,0.123,0.013,0.0,0.0,0.0,12547,12870,12500,12547,7.341
1782571993.3032892,59.43118977546692,drone_1,,hover,,,,,,,,,,0.003,0.012,1.057,0.0,-0.125,-0.002,0.0,0.0,0.0,12484,12820,12610,12706,7.333
1782571993.5900002,59.71790075302124,drone_1,,hover,,,,,,,,,,0.0,0.03,1.009,-0.075,0.012,-0.003,0.0,0.0,0.0,12391,12836,12315,12919,7.335
1782571993.9363377,60.06423830986023,drone_1,,hover,,,,,,,,,,0.01,0.015,0.988,-0.04,0.05,0.014,0.0,0.0,0.0,12254,12738,12224,12787,7.343
1782571994.1856549,60.31355547904968,drone_1,,hover,,,,,,,,,,-0.001,0.023,1.004,0.091,0.005,0.0,0.0,0.0,0.0,12239,12755,11990,12738,7.342
1782571994.5016332,60.629533767700195,drone_1,,hover,,,,,,,,,,-0.013,0.013,0.971,-0.082,0.027,0.019,0.0,0.0,0.0,12269,12738,12376,12594,7.332
1782571994.794685,60.92258548736572,drone_1,,hover,,,,,,,,,,-0.001,0.005,1.024,0.039,0.09,-0.007,0.0,0.0,0.0,12048,13262,12360,12787,7.326
1782571995.140794,61.26869463920593,drone_1,,hover,,,,,,,,,,0.008,0.009,0.969,-0.141,0.029,-0.011,0.0,0.0,0.0,12300,13020,12376,12610,7.331
1782571995.4685802,61.59648084640503,drone_1,,hover,,,,,,,,,,0.013,0.012,1.029,0.015,0.116,-0.013,0.0,0.0,0.0,12224,12738,12484,12406,7.33
